image,tp,fp,gt,precision,recall
boat10.png,8,1,8,0.8888888888888888,1.0
boat107.png,5,1,5,0.8333333333333334,1.0
boat12.png,1,1,1,0.5,1.0
boat124.png,3,10,4,0.23076923076923078,0.75
boat125.png,2,4,2,0.3333333333333333,1.0
boat133.png,1,4,1,0.2,1.0
boat142.png,3,6,6,0.3333333333333333,0.5
boat148.png,1,0,1,1.0,1.0
boat149.png,4,4,4,0.5,1.0
boat152.png,2,1,2,0.6666666666666666,1.0
boat161.png,1,0,1,1.0,1.0
boat167.png,1,0,1,1.0,1.0
boat168.png,2,0,2,1.0,1.0
boat169.png,1,0,1,1.0,1.0
boat172.png,1,3,1,0.25,1.0
boat176.png,3,2,3,0.6,1.0
boat18.png,1,0,1,1.0,1.0
boat19.png,1,0,1,1.0,1.0
boat197.png,0,1,1,0.0,0.0
boat198.png,2,0,2,1.0,1.0
boat204.png,3,0,3,1.0,1.0
boat216.png,1,1,1,0.5,1.0
boat217.png,1,0,1,1.0,1.0
boat224.png,1,0,1,1.0,1.0
boat229.png,1,0,1,1.0,1.0
boat231.png,3,9,4,0.25,0.75
boat261.png,1,0,1,1.0,1.0
boat270.png,1,1,1,0.5,1.0
boat29.png,1,0,1,1.0,1.0
boat290.png,97,3,100,0.97,0.97
boat294.png,1,0,1,1.0,1.0
boat295.png,1,0,1,1.0,1.0
boat299.png,1,0,1,1.0,1.0
boat300.png,1,0,1,1.0,1.0
boat305.png,1,0,1,1.0,1.0
boat312.png,5,0,5,1.0,1.0
boat316.png,1,0,1,1.0,1.0
boat322.png,1,0,1,1.0,1.0
boat323.png,1,4,1,0.2,1.0
boat337.png,0,0,1,0.0,0.0
boat338.png,0,1,1,0.0,0.0
boat362.png,2,0,2,1.0,1.0
boat371.png,1,0,1,1.0,1.0
boat375.png,1,0,1,1.0,1.0
boat384.png,2,0,2,1.0,1.0
boat403.png,1,0,1,1.0,1.0
boat409.png,1,0,1,1.0,1.0
boat42.png,71,29,97,0.71,0.7319587628865979
boat420.png,1,7,1,0.125,1.0
boat429.png,1,0,1,1.0,1.0
boat431.png,3,0,3,1.0,1.0
boat436.png,1,0,1,1.0,1.0
boat445.png,1,0,1,1.0,1.0
boat450.png,1,0,1,1.0,1.0
boat451.png,1,1,1,0.5,1.0
boat46.png,1,2,2,0.3333333333333333,0.5
boat462.png,1,0,1,1.0,1.0
boat469.png,2,1,2,0.6666666666666666,1.0
boat475.png,1,1,1,0.5,1.0
boat478.png,1,0,1,1.0,1.0
boat482.png,1,0,1,1.0,1.0
boat495.png,1,0,2,1.0,0.5
boat50.png,1,0,1,1.0,1.0
boat501.png,1,0,1,1.0,1.0
boat532.png,1,0,1,1.0,1.0
boat542.png,1,11,1,0.08333333333333333,1.0
boat571.png,1,0,1,1.0,1.0
boat574.png,1,0,1,1.0,1.0
boat576.png,1,0,1,1.0,1.0
boat579.png,7,3,10,0.7,0.7
boat584.png,1,0,1,1.0,1.0
boat590.png,1,10,3,0.09090909090909091,0.3333333333333333
boat592.png,1,0,1,1.0,1.0
boat602.png,1,1,1,0.5,1.0
boat609.png,1,0,1,1.0,1.0
boat612.png,2,0,2,1.0,1.0
boat614.png,1,1,1,0.5,1.0
boat626.png,1,0,1,1.0,1.0
boat637.png,1,0,1,1.0,1.0
boat644.png,1,0,1,1.0,1.0
boat649.png,1,0,1,1.0,1.0
boat657.png,1,2,1,0.3333333333333333,1.0
boat675.png,1,0,1,1.0,1.0
boat678.png,1,0,1,1.0,1.0
boat680.png,1,0,1,1.0,1.0
boat683.png,1,1,1,0.5,1.0
boat685.png,2,0,2,1.0,1.0
boat690.png,0,3,3,0.0,0.0
boat71.png,2,0,2,1.0,1.0
boat81.png,1,0,1,1.0,1.0
boat84.png,2,0,2,1.0,1.0
boat88.png,1,0,1,1.0,1.0
boat95.png,2,0,2,1.0,1.0
boat96.png,1,0,1,1.0,1.0
OVERALL,304,130,351,0.7004608294930875,0.8660968660968661
